
"Player ID:",1263549
"Player Name:",Tristan Arnold

"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
1,"Fri Jan 17 2025 8:05:23 PM",1737144323,"Slider","N","-10.46","52.31",78.87,1595,1579.3,99,"10:12",1,13,-13.2,"-","-","11.7","-16.5","0.93","0.54","6.40","-0.60",2.3683013916015625,"8.05","1263549@1737144323","V3P4DB1N1735A",1,-32.778968811035156,129.1983642578125,1,0,0.7840568423271179,-0.4476306438446045,-0.42997869849205017,0.45388174057006836,0.886011004447937,-0.09474103897809982,0.42337483167648315,-0.12087710201740265,0.8978543281555176,-1.7043309211730957,-5.470771789550781
2,"Fri Jan 17 2025 8:54:56 PM",1737147296,"Fastball","N","-19.47","9.66",84.33,2143.3,2137.7,99.7,"01:14",1,20.6,14.9,"-","-","18.7","14.6","-4.50","-3.66","5.81","1.33",1.7770404815673828,"4.13","1263549@1737147296","V3P4DB1N1735A",1,8.925250053405762,10.721122741699219,0.5,0,0.9971486926078796,0.04417215287685394,-0.06118309870362282,-0.027778178453445435,0.9687061905860901,0.24665091931819916,0.0701635479927063,-0.24424807727336884,0.9671710729598999,-1.703284740447998,-7.226712226867676
3,"Fri Jan 17 2025 8:55:11 PM",1737147311,"Fastball","N","1.20","48.91",84.44,2150.7,2137.5,99.4,"01:16",1,25.2,11.8,"-","-","17.4","14.2","-2.85","-0.31","5.69","1.75",1.8836097717285156,"6.35","1263549@1737147311","V3P4DB1N1735A",1,2.6252830028533936,3.386422872543335,1,0,0.999010443687439,0.009133840911090374,0.04352906718850136,-0.017246127128601074,0.9816675186157227,0.18981952965259552,-0.04099728539586067,-0.19038237631320953,0.9808535575866699,-0.5343855023384094,-3.4293696880340576
4,"Fri Jan 17 2025 8:55:23 PM",1737147323,"Fastball","Y","-7.16","18.20",84.52,2133.7,2123.8,99.5,"01:10",1,23.6,14,"-","-","18.7","13.5","-3.74","-2.90","5.64","1.70",1.8413848876953125,"5.50","1263549@1737147323","V3P4DB1N1735A",1,-6.216702938079834,18.988712310791016,1,0,0.9848593473434448,0.02234194055199623,-0.1719093769788742,-0.02132411114871502,0.9997424483299255,0.007765339687466621,0.17203859984874725,-0.0039819530211389065,0.9850821495056152,-1.0258382558822632,-6.2045063972473145
5,"Fri Jan 17 2025 8:55:34 PM",1737147334,"Fastball","N","12.02","32.28",77.67,2331.1,1695,72.7,"02:20",1,7.5,18.9,"-","-","5.8","17.7","-2.37","0.60","5.38","1.61",1.9267921447753906,"-43.35","1263549@1737147334","V3P4DB1N1735A",1,-16.152671813964844,21.9248104095459,1,0,0.7845314741134644,-0.4611441493034363,-0.41455572843551636,-0.1463204175233841,0.5119919776916504,-0.8464363813400269,0.6025784015655518,0.7247140407562256,0.3341990113258362,1.262213110923767,-6.8159942626953125
6,"Fri Jan 17 2025 8:55:48 PM",1737147348,"Fastball","N","-6.33","7.81",76.24,2342.2,1662.2,71,"02:36",1,9.1,20.8,"-","-","3.4","18.6","-4.38","-1.42","5.26","1.80",1.8864994049072266,"-44.79","1263549@1737147348","V3P4DB1N1735A",1,-8.543312072753906,2.092791795730591,1,0,0.9118711948394775,-0.16669215261936188,-0.37510615587234497,-0.2175184041261673,0.5787428617477417,-0.7859658598899841,0.348104327917099,0.7982921600341797,0.4914803206920624,-0.4100269079208374,-8.933370590209961
7,"Fri Jan 17 2025 8:56:00 PM",1737147360,"Fastball","N","10.07","34.88",84.66,2070.2,2059.4,99.5,"01:26",1,18.7,15.6,"-","-","15.1","14.8","-2.22","-1.38","5.66","1.53",2.380573272705078,"-5.85","1263549@1737147360","V3P4DB1N1735A",1,-3.29325532913208,8.4442720413208,1,0,0.9920691847801208,-0.023778263479471207,-0.12342323362827301,0.005326369311660528,0.9890138506889343,-0.14772669970989227,0.12557996809482574,0.14589771628379822,0.9812968373298645,0.8635286688804626,-4.966831684112549
8,"Fri Jan 17 2025 8:56:49 PM",1737147409,"Fastball","N","1.81","14.79",85.33,2090.4,2087.1,99.8,"01:26",1,22.6,15,"-","-","15.8","15.4","-2.90","-3.27","5.56","1.57",1.9487438201904297,"-3.18","1263549@1737147409","V3P4DB1N1735A",1,5.599656105041504,1.0500043630599976,1,0,0.9999868869781494,0.0011089479085057974,0.004998463671654463,-0.0013041025958955288,0.9992300868034363,0.03921034187078476,-0.004951133858412504,-0.03921634703874588,0.9992184638977051,-0.026202669367194176,-6.270463943481445
9,"Fri Jan 17 2025 8:57:01 PM",1737147421,"Fastball","Y","-1.22","28.67",83.14,2044.3,2030.4,99.3,"01:30",1,19.5,16.6,"-","-","16.2","16.5","-3.41","-1.58","5.66","1.68",1.799112319946289,"-6.66","1263549@1737147421","V3P4DB1N1735A",1,-8.048242568969727,7.761473178863525,1,0,0.9914790987968445,-0.028284279629588127,-0.12715761363506317,-0.002007226226851344,0.9727100133895874,-0.23201540112495422,0.13024987280368805,0.23029367625713348,0.9643649458885193,-0.2517564296722412,-5.672033309936523
10,"Fri Jan 17 2025 8:57:18 PM",1737147438,"ChangeUp","N","13.44","20.05",76.56,2387.5,1670.1,70,"02:28",1,-0.9,16,"-","-","4.2","17.3","-2.00","-0.32","5.28","1.64",2.0453529357910156,"-45.61","1263549@1737147438","V3P4DB1N1735A",1,-11.228422164916992,3.1915154457092285,1,0,0.9132509827613831,-0.17459547519683838,-0.3680884838104248,-0.22419895231723785,0.5390035510063171,-0.8119174242019653,0.3401581346988678,0.8240094184875488,0.45310139656066895,1.0780361890792847,-9.405367851257324
