Player ID:,1243694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Logan Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Release Extension (ft),Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle
12,Fri Sep 06 2024 4:04:54 PM,1725638694,TwoSeamFastball,N,8.91,16.23,84.75,2138.8,2134.5,99.8,2:26,0.5,8.1,16.9,-,-,6.9,24.6,-4.89,-0.96,4.69,3.79,2.115541458,3.63,1243694@1725638694,V3P4DB1N1735A,0.5,-10.20260906,78.19913483,1,0,-0.252054155,-0.028410373,-0.967296004,-0.336263597,0.939853489,0.06001788,0.907411397,0.340394169,-0.246447369,-1.635359406,-6.624650955
13,Fri Sep 06 2024 4:05:09 PM,1725638709,Cutter,Y,-8.67,35.45,79.31,2120.2,1000.7,47.2,1:16,1,11.5,2.4,-,-,8.7,6.7,-5.04,1.09,4.68,3.69,2.060476303,61.84,1243694@1725638709,V3P4DB1N1735A,1,-23.66622353,129.6848907,1,0,0.566741109,0.463951766,-0.680847406,-0.817634404,0.21502912,-0.534075379,-0.101383187,0.859366715,0.501208782,-4.575881004,-5.2162714
14,Fri Sep 06 2024 4:05:20 PM,1725638720,Cutter,Y,1.03,26.58,79.56,2060.6,1228.9,59.6,1:38,0.5,15.2,2.6,-,-,9,10.9,-4.31,-0.25,4.77,3.81,2.065626144,53.39,1243694@1725638720,V3P4DB1N1735A,0.5,-8.066086769,149.1729431,1,0,0.619054079,0.172860101,-0.766088367,-0.693634093,-0.337115586,-0.63657254,-0.368298382,0.925457835,-0.088791087,-3.815459251,-5.585870743
15,Fri Sep 06 2024 4:14:04 PM,1725639244,TwoSeamFastball,N,-14.8,25.98,84.1,2286.7,2238.6,97.9,2:30,1,8.7,21.1,-,-,6.4,25.1,-7.94,-0.12,4.89,4.36,1.946683884,-11.77,1243694@1725639244,V3P4DB1N1735A,1,-19.11395264,5.432039738,0.5,0,0.827009559,0.004962063,-0.562165976,-0.276854515,0.87389642,-0.399570525,0.489292115,0.486086845,0.72409451,-3.944081545,-6.097381592
16,Fri Sep 06 2024 4:14:15 PM,1725639255,TwoSeamFastball,N,12.8,30.75,84.57,2252.2,-,-,3:10,1,14.2,19.4,-,-,-0.9,0.2,-5.35,0.08,4.39,4.18,-,90,1243694@1725639255,V3P4DB1N1735A,1,-15.30996418,128.9963837,0.25,0,0.974896908,-0.160583735,-0.154236704,0.17300877,0.982375979,0.070749059,0.140157282,-0.095657341,0.985497653,-1.429379463,-4.533377171
17,Fri Sep 06 2024 4:14:28 PM,1725639268,TwoSeamFastball,N,11.71,29.53,82.9,2257.4,-,-,3:06,1,6.4,19.9,-,-,-1,0.3,-5.63,0.41,4.72,4.57,1.797611237,90,1243694@1725639268,V3P4DB1N1735A,1,-44.15056229,103.1703033,0.333333343,0,0.897480369,-0.424044669,0.121305518,0.371438771,0.874980271,0.310552329,-0.237828016,-0.233657047,0.94278425,-2.044414759,-5.314734936
18,Fri Sep 06 2024 4:14:42 PM,1725639282,TwoSeamFastball,N,12.01,16.08,84.19,1936.7,1882.2,97.2,10:22,0.5,7.6,0,-,-,14.3,-17.2,-5.18,-0.84,4.69,4.29,2.198892593,-13.62,1243694@1725639282,V3P4DB1N1735A,0.5,24.44335175,-18.35085297,0,0,-0.225241855,0.641760647,0.733082056,-0.267592847,0.682733953,-0.679903269,-0.93683511,-0.349310219,0.017950352,-1.879515052,-6.860730171
19,Fri Sep 06 2024 4:14:54 PM,1725639294,Cutter,Y,-0.8,29.97,78.28,1937.8,1015.4,52.4,1:44,0.5,7.1,3.3,-,-,6.9,9,-4.96,0.79,4.88,4.24,1.906394958,58.4,1243694@1725639294,V3P4DB1N1735A,0.5,-21.5820446,137.6851196,1,0,0.578980744,0.419056445,-0.699409008,-0.766526461,-0.012596888,-0.642089009,-0.27788201,0.907872677,0.313924551,-4.343241215,-6.185721397
20,Fri Sep 06 2024 4:15:07 PM,1725639307,ChangeUp,N,17.85,29.06,76.82,2075.2,-,-,2:30,1,0,15.1,-,-,-,-,-3.96,-2.04,3.29,3.09,-,-90,1243694@1725639307,V3P4DB1N1735A,1,11.23038197,29.36859131,1,0,0.587477803,0.243918449,0.771604538,-0.764220476,-0.146370888,0.628126264,0.266152084,-0.958686233,0.100417852,-0.241753563,-0.247371376
21,Fri Sep 06 2024 4:15:18 PM,1725639318,Cutter,Y,9.04,33.78,73.87,2169.8,-,-,11:00,1,24.8,-1.3,-,-,-,-,-3.51,0.65,4.01,3.81,-,-90,1243694@1725639318,V3P4DB1N1735A,1,38.73242188,100.8275833,1,0,-0.610670209,0.732207954,-0.301584572,-0.738727033,-0.663929045,-0.116105251,-0.285243958,0.151886657,0.94634366,-3.786152124,-3.921853781
22,Fri Sep 06 2024 4:15:29 PM,1725639329,-,N,-,-,74.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243694@1725639329,V3P4DB1N1735A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.231910467,-6.928868771
23,Fri Sep 06 2024 4:15:40 PM,1725639340,ChangeUp,N,15.34,14.01,76.49,2232.1,2225.7,99.7,3:10,0.5,14.6,10.2,-,-,-2.8,23.7,-4.15,-0.7,4.28,4.14,2.434791565,4.34,1243694@1725639340,V3P4DB1N1735A,0.5,40.49347687,116.5120544,0,0,-0.095837437,-0.176557139,-0.979613543,0.753831744,-0.655565202,0.044404641,-0.650040567,-0.734208226,0.195922151,-2.150112152,-6.541388988
24,Fri Sep 06 2024 4:15:52 PM,1725639352,ChangeUp,N,-15.56,16.57,78.13,2228.9,2227.5,99.9,2:58,1,1.6,19.7,-,-,0.1,26.4,-7.86,0.53,4.6,4.37,1.882959366,2.01,1243694@1725639352,V3P4DB1N1735A,1,21.88911438,40.21544647,1,0,0.15190345,0.023795901,-0.988108814,0.490986943,0.865824521,0.096331164,0.857821107,-0.499781549,0.119838268,-4.171011925,-7.858837605
25,Fri Sep 06 2024 4:16:06 PM,1725639366,TwoSeamFastball,Y,3.63,25.96,83.95,2218,2214.5,99.8,2:30,1,6,21.3,-,-,6,25.3,-6.14,0.37,4.72,4.16,2.037025452,3.25,1243694@1725639366,V3P4DB1N1735A,1,-4.925258636,73.79695892,1,0,-0.249146685,0.0655936,-0.966241837,-0.19051604,0.974888861,0.115305424,0.949541688,0.212812558,-0.230393693,-1.982144117,-6.403802395
26,Fri Sep 06 2024 4:16:18 PM,1725639378,-,N,-,-,84.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243694@1725639378,V3P4DB1N1735A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546010196,-3.031080484
27,Fri Sep 06 2024 4:16:32 PM,1725639392,Cutter,Y,-1.9,23.7,77.6,2777.4,2505,90.2,11:26,0.5,17.2,2.7,-,-,22.5,-6.5,-5,-0.39,4.72,4.12,2.319063187,-25.59,1243694@1725639392,V3P4DB1N1735A,0.5,-2.216555119,49.30413437,1,0,0.935542285,-0.274958491,0.221717253,0.322530508,0.920903385,-0.218885675,-0.143995702,0.276287377,0.950226605,-4.464281559,-6.087507725
